id,title,description,availability,condition,price,sale_price,link,image_link,brand,item_group_id,sku
55570189681014,MAUI MOON BOW CAPRI - XL,"<p><strong>LEGGINGS ONLY</strong></p>
<p class=""p1""><span class=""s1"">The Yagi <span data-sheets-root=""1"" data-sheets-value='{""1"":2,""2"":""RIOT MOON BOW LEGGINGS""}' data-sheets-userformat='{""2"":513,""3"":{""1"":0},""12"":0}'>MAUI MOON BOW CAPRI LEGGINGS</span>, following our signature Shape silhouette, with our ultra comfy thick fabric. Perfect combination to accentuate the female figure.</span></p>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">High stretch, quality medium thick fabric for maximum comfort</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Figure shaping elastic fabric that accentuates your figure in the right places</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size UK 8 wears size S and is 5”6</span>
</li>
<li class=""li1""><span class=""s1""><b>Leggings only, top sold separately, shop </b><a href=""https://y-gi.com/collections/tops""><b>here</b></a></span></li>
</ul>",out of stock,new,79.00 GBP,,https://y-gi.com/products/maui-moon-bow-capri-leggings,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/17_image_copy_b0ca6c62-78c9-46af-ae31-38f59b6fada4.jpg?v=1747043270,yagiworldstore,15167606227318,YG-1225-WRLD
55570189713782,MAUI MOON BOW CAPRI - 2XL,"<p><strong>LEGGINGS ONLY</strong></p>
<p class=""p1""><span class=""s1"">The Yagi <span data-sheets-root=""1"" data-sheets-value='{""1"":2,""2"":""RIOT MOON BOW LEGGINGS""}' data-sheets-userformat='{""2"":513,""3"":{""1"":0},""12"":0}'>MAUI MOON BOW CAPRI LEGGINGS</span>, following our signature Shape silhouette, with our ultra comfy thick fabric. Perfect combination to accentuate the female figure.</span></p>
<ul class=""ul1"">
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">High stretch, quality medium thick fabric for maximum comfort</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Figure shaping elastic fabric that accentuates your figure in the right places</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size UK 8 wears size S and is 5”6</span>
</li>
<li class=""li1""><span class=""s1""><b>Leggings only, top sold separately, shop </b><a href=""https://y-gi.com/collections/tops""><b>here</b></a></span></li>
</ul>",in stock,new,79.00 GBP,,https://y-gi.com/products/maui-moon-bow-capri-leggings,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/17_image_copy_b0ca6c62-78c9-46af-ae31-38f59b6fada4.jpg?v=1747043270,yagiworldstore,15167606227318,YG-1226-WRLD
57279145705846,VAOS YUZU  LONG  SLEEVE  TOP - XS,"<p class=""p1""><strong>TOP &amp; BRA ONLY</strong></p>
<p class=""p1"">The Yagi Vaos Yuzu Long Sleeve Top is an edgy, versatile, two piece top combination - <meta charset=""utf-8""><span data-mce-fragment=""1"">Its sleek design, combines a double zip long sleeve, with an exposed bra.</span></p>
<p class=""p1""><span data-mce-fragment=""1"">The bra can be worn alone, or encased in the double zip up long sleeve, depending on your mood, location and occasion. Essentially giving you two outfits in one - a long lasting piece in your wardrobe, that stands out for its quality and cutting edge design. </span></p>
<p class=""p1""><span>Following our signature Yagi fitted silhouette and created with</span> comfy thick fabric - you can see and feel the quality.</p>
<ul class=""ul1"">
<li>Adjustable halter stretch bra x1</li>
<li>Long sleeve double zip jumper x1</li>
<li>High stretch, quality medium thick fabric for maximum comfort</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size 8 wears size S and is 5”6</span>
</li>
</ul>",in stock,new,89.00 GBP,,https://y-gi.com/products/vaos-yuzu-long-sleeve-top,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/13_897cbbad-5f8b-48a8-9408-54a2a324757d.png?v=1771789668,yagiworldstore,15610591248758,YG-1762-WRLD
57279145738614,VAOS YUZU  LONG  SLEEVE  TOP - S,"<p class=""p1""><strong>TOP &amp; BRA ONLY</strong></p>
<p class=""p1"">The Yagi Vaos Yuzu Long Sleeve Top is an edgy, versatile, two piece top combination - <meta charset=""utf-8""><span data-mce-fragment=""1"">Its sleek design, combines a double zip long sleeve, with an exposed bra.</span></p>
<p class=""p1""><span data-mce-fragment=""1"">The bra can be worn alone, or encased in the double zip up long sleeve, depending on your mood, location and occasion. Essentially giving you two outfits in one - a long lasting piece in your wardrobe, that stands out for its quality and cutting edge design. </span></p>
<p class=""p1""><span>Following our signature Yagi fitted silhouette and created with</span> comfy thick fabric - you can see and feel the quality.</p>
<ul class=""ul1"">
<li>Adjustable halter stretch bra x1</li>
<li>Long sleeve double zip jumper x1</li>
<li>High stretch, quality medium thick fabric for maximum comfort</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size 8 wears size S and is 5”6</span>
</li>
</ul>",out of stock,new,89.00 GBP,,https://y-gi.com/products/vaos-yuzu-long-sleeve-top,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/13_897cbbad-5f8b-48a8-9408-54a2a324757d.png?v=1771789668,yagiworldstore,15610591248758,YG-1763-WRLD
57279145771382,VAOS YUZU  LONG  SLEEVE  TOP - M,"<p class=""p1""><strong>TOP &amp; BRA ONLY</strong></p>
<p class=""p1"">The Yagi Vaos Yuzu Long Sleeve Top is an edgy, versatile, two piece top combination - <meta charset=""utf-8""><span data-mce-fragment=""1"">Its sleek design, combines a double zip long sleeve, with an exposed bra.</span></p>
<p class=""p1""><span data-mce-fragment=""1"">The bra can be worn alone, or encased in the double zip up long sleeve, depending on your mood, location and occasion. Essentially giving you two outfits in one - a long lasting piece in your wardrobe, that stands out for its quality and cutting edge design. </span></p>
<p class=""p1""><span>Following our signature Yagi fitted silhouette and created with</span> comfy thick fabric - you can see and feel the quality.</p>
<ul class=""ul1"">
<li>Adjustable halter stretch bra x1</li>
<li>Long sleeve double zip jumper x1</li>
<li>High stretch, quality medium thick fabric for maximum comfort</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size 8 wears size S and is 5”6</span>
</li>
</ul>",in stock,new,89.00 GBP,,https://y-gi.com/products/vaos-yuzu-long-sleeve-top,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/13_897cbbad-5f8b-48a8-9408-54a2a324757d.png?v=1771789668,yagiworldstore,15610591248758,YG-1764-WRLD
57279145804150,VAOS YUZU  LONG  SLEEVE  TOP - L,"<p class=""p1""><strong>TOP &amp; BRA ONLY</strong></p>
<p class=""p1"">The Yagi Vaos Yuzu Long Sleeve Top is an edgy, versatile, two piece top combination - <meta charset=""utf-8""><span data-mce-fragment=""1"">Its sleek design, combines a double zip long sleeve, with an exposed bra.</span></p>
<p class=""p1""><span data-mce-fragment=""1"">The bra can be worn alone, or encased in the double zip up long sleeve, depending on your mood, location and occasion. Essentially giving you two outfits in one - a long lasting piece in your wardrobe, that stands out for its quality and cutting edge design. </span></p>
<p class=""p1""><span>Following our signature Yagi fitted silhouette and created with</span> comfy thick fabric - you can see and feel the quality.</p>
<ul class=""ul1"">
<li>Adjustable halter stretch bra x1</li>
<li>Long sleeve double zip jumper x1</li>
<li>High stretch, quality medium thick fabric for maximum comfort</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size 8 wears size S and is 5”6</span>
</li>
</ul>",out of stock,new,89.00 GBP,,https://y-gi.com/products/vaos-yuzu-long-sleeve-top,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/13_897cbbad-5f8b-48a8-9408-54a2a324757d.png?v=1771789668,yagiworldstore,15610591248758,YG-1765-WRLD
57279145836918,VAOS YUZU  LONG  SLEEVE  TOP - XL,"<p class=""p1""><strong>TOP &amp; BRA ONLY</strong></p>
<p class=""p1"">The Yagi Vaos Yuzu Long Sleeve Top is an edgy, versatile, two piece top combination - <meta charset=""utf-8""><span data-mce-fragment=""1"">Its sleek design, combines a double zip long sleeve, with an exposed bra.</span></p>
<p class=""p1""><span data-mce-fragment=""1"">The bra can be worn alone, or encased in the double zip up long sleeve, depending on your mood, location and occasion. Essentially giving you two outfits in one - a long lasting piece in your wardrobe, that stands out for its quality and cutting edge design. </span></p>
<p class=""p1""><span>Following our signature Yagi fitted silhouette and created with</span> comfy thick fabric - you can see and feel the quality.</p>
<ul class=""ul1"">
<li>Adjustable halter stretch bra x1</li>
<li>Long sleeve double zip jumper x1</li>
<li>High stretch, quality medium thick fabric for maximum comfort</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Signature YAGI embroidery</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Stretch is suitable for all heights</span>
</li>
<li class=""li1"">
<span class=""s2""></span><span class=""s1"">Model is Size 8 wears size S and is 5”6</span>
</li>
</ul>",out of stock,new,89.00 GBP,,https://y-gi.com/products/vaos-yuzu-long-sleeve-top,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/13_897cbbad-5f8b-48a8-9408-54a2a324757d.png?v=1771789668,yagiworldstore,15610591248758,YG-1766-WRLD
55886669382006,ZURI MOON SHORTS - XS,"<p dir=""ltr""><strong>SHORTS ONLY</strong></p>
<p dir=""ltr""><span>The Yagi Zuri Moon Shorts are the perfect way to elevate your wardrobe. Our luxury stretch leggings - are a perfect fusion of style, quality, shape and comfort. Following our signature shape silhouette in shorts, created with comfy thick fabric. Accentuating the female figure, you can see and feel the quality</span></p>
<ul>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>High stretch, quality medium thick fabric for maximum comfort</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Figure shaping elastic woven fabric that accentuates your figure in the right places</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Signature YAGI embroidery</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Stretch is suitable for all heights</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Model is Size UK 8 wears size S and is 5”6</span></p>
</li>
</ul>
<p class=""p1""> </p>",out of stock,new,66.00 GBP,,https://y-gi.com/products/zuri-moon-shorts,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/C3E4D7A0-9093-4A58-9C03-B76D05E0091C.png?v=1762421297,yagiworldstore,15243853234550,YG-1401-WRLD
55886669414774,ZURI MOON SHORTS - S,"<p dir=""ltr""><strong>SHORTS ONLY</strong></p>
<p dir=""ltr""><span>The Yagi Zuri Moon Shorts are the perfect way to elevate your wardrobe. Our luxury stretch leggings - are a perfect fusion of style, quality, shape and comfort. Following our signature shape silhouette in shorts, created with comfy thick fabric. Accentuating the female figure, you can see and feel the quality</span></p>
<ul>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>High stretch, quality medium thick fabric for maximum comfort</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Figure shaping elastic woven fabric that accentuates your figure in the right places</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Signature YAGI embroidery</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Stretch is suitable for all heights</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Model is Size UK 8 wears size S and is 5”6</span></p>
</li>
</ul>
<p class=""p1""> </p>",out of stock,new,66.00 GBP,,https://y-gi.com/products/zuri-moon-shorts,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/C3E4D7A0-9093-4A58-9C03-B76D05E0091C.png?v=1762421297,yagiworldstore,15243853234550,YG-1402-WRLD
55886669447542,ZURI MOON SHORTS - M,"<p dir=""ltr""><strong>SHORTS ONLY</strong></p>
<p dir=""ltr""><span>The Yagi Zuri Moon Shorts are the perfect way to elevate your wardrobe. Our luxury stretch leggings - are a perfect fusion of style, quality, shape and comfort. Following our signature shape silhouette in shorts, created with comfy thick fabric. Accentuating the female figure, you can see and feel the quality</span></p>
<ul>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>High stretch, quality medium thick fabric for maximum comfort</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Figure shaping elastic woven fabric that accentuates your figure in the right places</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Signature YAGI embroidery</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Stretch is suitable for all heights</span></p>
</li>
<li dir=""ltr"" aria-level=""1"">
<p dir=""ltr"" role=""presentation""><span>Model is Size UK 8 wears size S and is 5”6</span></p>
</li>
</ul>
<p class=""p1""> </p>",out of stock,new,66.00 GBP,,https://y-gi.com/products/zuri-moon-shorts,https://cdn.shopify.com/s/files/1/0528/4429/8396/files/C3E4D7A0-9093-4A58-9C03-B76D05E0091C.png?v=1762421297,yagiworldstore,15243853234550,YG-1403-WRLD
